#{"t_start": 1741270234.8937113, "env_id": "None"}
r,l,t
638.8297,1000,537.145259
-3245.7683,1000,1063.692965
524.6873,1000,1585.331549
295.50827,1000,2110.023928
-3982.523,1000,2621.172052
-4757.8105,1000,5612.106477
454.36978,1000,6125.19287
322.49985,1000,6635.160573
827.9358,1000,7160.376266
235.10823,1000,7673.877564
143.82668,1000,10707.256837
195.02742,1000,11222.115062
274.28763,1000,11737.517987
727.28784,1000,12253.930387
624.6072,1000,12767.76165
651.35706,1000,15799.888549
502.02875,1000,16316.679361
622.5485,1000,16830.299024
661.34393,1000,17524.213194
-4694.8413,1000,18344.036099
